"station","date","year","month","doy","rain","tmax","tmin"
"Dodoma",1980-01-01,1980,1,1,0,26.5,17.6
"Dodoma",1980-01-02,1980,1,2,0,30.1,14.1
"Dodoma",1980-01-03,1980,1,3,6.2,30.4,13.9
"Dodoma",1980-01-04,1980,1,4,0,24.8,16.2
"Dodoma",1980-01-05,1980,1,5,0,28.1,14.7
"Dodoma",1980-01-06,1980,1,6,NA,29.9,17.8
"Dodoma",1980-01-07,1980,1,7,0,28.1,15.3
"Dodoma",1980-01-08,1980,1,8,0.3,25.1,17.4
"Dodoma",1980-01-09,1980,1,9,0,28.7,15.4
"Dodoma",1980-01-10,1980,1,10,0,24.6,13.9
"Dodoma",1980-01-11,1980,1,11,0.3,27.9,16.4
"Dodoma",1980-01-12,1980,1,12,0,29.4,12.9
"Dodoma",1980-01-13,1980,1,13,NA,26.7,15.4
"Dodoma",1980-01-14,1980,1,14,2,26.2,12.3
"Dodoma",1980-01-15,1980,1,15,1.3,25.3,17
"Dodoma",1980-01-16,1980,1,16,0,28.1,18.6
"Dodoma",1980-01-17,1980,1,17,0,30.3,16.1
"Dodoma",1980-01-18,1980,1,18,4,27.2,16.9
"Dodoma",1980-01-19,1980,1,19,1.9,30.9,16.4
"Dodoma",1980-01-20,1980,1,20,3.8,27.2,18.5
"Dodoma",1980-01-21,1980,1,21,0,28.4,14.1
"Dodoma",1980-01-22,1980,1,22,25.1,27.5,12.8
"Dodoma",1980-01-23,1980,1,23,0,29.3,17.2
"Dodoma",1980-01-24,1980,1,24,0,29.5,17.9
"Dodoma",1980-01-25,1980,1,25,14.8,28.4,14.7
"Dodoma",1980-01-26,1980,1,26,7,26.8,16.9
"Dodoma",1980-01-27,1980,1,27,0.7,31,16.9
"Dodoma",1980-01-28,1980,1,28,0,26.6,15.2
"Dodoma",1980-01-29,1980,1,29,16.1,29,16.7
"Dodoma",1980-01-30,1980,1,30,0,25.2,15.8
"Dodoma",1980-01-31,1980,1,31,0,30.5,16.7
"Dodoma",1980-02-01,1980,2,32,0,27.6,17.3
"Dodoma",1980-02-02,1980,2,33,3.5,29.3,16.3
"Dodoma",1980-02-03,1980,2,34,0,31.4,17.8
"Dodoma",1980-02-04,1980,2,35,9,32.9,18.4
"Dodoma",1980-02-05,1980,2,36,0,28.6,18.2
"Dodoma",1980-02-06,1980,2,37,20.4,30.7,17.8
"Dodoma",1980-02-07,1980,2,38,10.3,31.8,19.5
"Dodoma",1980-02-08,1980,2,39,0,26.9,15.4
"Dodoma",1980-02-09,1980,2,40,0,31.3,18.2
"Dodoma",1980-02-10,1980,2,41,0.3,26.2,20
"Dodoma",1980-02-11,1980,2,42,0.2,29.8,17.7
"Dodoma",1980-02-12,1980,2,43,2.4,28.6,17.2
"Dodoma",1980-02-13,1980,2,44,NA,30.9,17.6
"Dodoma",1980-02-14,1980,2,45,1.7,27.6,16.5
"Dodoma",1980-02-15,1980,2,46,NA,32.2,15.8
"Dodoma",1980-02-16,1980,2,47,0,35.7,16.4
"Dodoma",1980-02-17,1980,2,48,0,29.5,20.8
"Dodoma",1980-02-18,1980,2,49,0,32.9,20.5
"Dodoma",1980-02-19,1980,2,50,0,24.9,18.5
"Dodoma",1980-02-20,1980,2,51,3.1,31.8,14.6
"Dodoma",1980-02-21,1980,2,52,2.1,29.3,16.5
"Dodoma",1980-02-22,1980,2,53,6.2,32.2,15.7
"Dodoma",1980-02-23,1980,2,54,0,33.4,15.4
"Dodoma",1980-02-24,1980,2,55,0.9,28.2,18.7
"Dodoma",1980-02-25,1980,2,56,0,30.3,16.9
"Dodoma",1980-02-26,1980,2,57,0,33,15.3
"Dodoma",1980-02-27,1980,2,58,14.1,32.9,19.2
"Dodoma",1980-02-28,1980,2,59,2.7,29.6,19.7
"Dodoma",1980-02-29,1980,2,60,0,31.4,17.7
"Dodoma",1980-03-01,1980,3,61,0,26.8,21.9
"Dodoma",1980-03-02,1980,3,62,0,30.9,19
"Dodoma",1980-03-03,1980,3,63,0,31.6,18.6
"Dodoma",1980-03-04,1980,3,64,0,35.2,19
"Dodoma",1980-03-05,1980,3,65,0,32.9,18.8
"Dodoma",1980-03-06,1980,3,66,5.3,31.6,19.4
"Dodoma",1980-03-07,1980,3,67,2.6,33.9,16.8
"Dodoma",1980-03-08,1980,3,68,0,32.5,19.6
"Dodoma",1980-03-09,1980,3,69,0,33.6,19.7
"Dodoma",1980-03-10,1980,3,70,NA,31.1,22.3
"Dodoma",1980-03-11,1980,3,71,0.2,33.9,18.3
"Dodoma",1980-03-12,1980,3,72,NA,33.6,20.5
"Dodoma",1980-03-13,1980,3,73,0.3,34.2,19.8
"Dodoma",1980-03-14,1980,3,74,0,32.2,19.4
"Dodoma",1980-03-15,1980,3,75,1.4,34.5,20.7
"Dodoma",1980-03-16,1980,3,76,0,30.2,22.5
"Dodoma",1980-03-17,1980,3,77,5.6,30.5,18.1
"Dodoma",1980-03-18,1980,3,78,0,31.8,21.3
"Dodoma",1980-03-19,1980,3,79,0,35.2,19.6
"Dodoma",1980-03-20,1980,3,80,4.9,34.7,18.3
"Dodoma",1980-03-21,1980,3,81,0,34.9,19.7
"Dodoma",1980-03-22,1980,3,82,0.3,32,19.5
"Dodoma",1980-03-23,1980,3,83,0,35.4,19.3
"Dodoma",1980-03-24,1980,3,84,0,33.1,21.3
"Dodoma",1980-03-25,1980,3,85,0,31.6,21.7
"Dodoma",1980-03-26,1980,3,86,0,31.6,20.4
"Dodoma",1980-03-27,1980,3,87,0,33.5,21.8
"Dodoma",1980-03-28,1980,3,88,0.3,37.2,23.5
"Dodoma",1980-03-29,1980,3,89,10.9,34.7,21.4
"Dodoma",1980-03-30,1980,3,90,0,33.1,21.5
"Dodoma",1980-03-31,1980,3,91,0,32.8,21.4
"Dodoma",1980-04-01,1980,4,92,12.5,31.8,20.8
"Dodoma",1980-04-02,1980,4,93,0,29.6,21.2
"Dodoma",1980-04-03,1980,4,94,0,34.3,20.4
"Dodoma",1980-04-04,1980,4,95,0,30.4,19.1
"Dodoma",1980-04-05,1980,4,96,0,36.9,19.3
"Dodoma",1980-04-06,1980,4,97,0,33.6,18.5
"Dodoma",1980-04-07,1980,4,98,0,34.1,19.9
"Dodoma",1980-04-08,1980,4,99,0,33.9,21.8
"Dodoma",1980-04-09,1980,4,100,0,36.1,21.1
"Dodoma",1980-04-10,1980,4,101,0,35.2,21.4
"Dodoma",1980-04-11,1980,4,102,0,33.9,21.2
"Dodoma",1980-04-12,1980,4,103,0,37,19.4
"Dodoma",1980-04-13,1980,4,104,0,36.3,22.9
"Dodoma",1980-04-14,1980,4,105,0,34.6,22.5
"Dodoma",1980-04-15,1980,4,106,0,32.2,21.1
"Dodoma",1980-04-16,1980,4,107,0,36.9,21.3
"Dodoma",1980-04-17,1980,4,108,0,35.9,22.7
"Dodoma",1980-04-18,1980,4,109,0,33.7,22.7
"Dodoma",1980-04-19,1980,4,110,0,35,16.9
"Dodoma",1980-04-20,1980,4,111,0,31.7,23.6
"Dodoma",1980-04-21,1980,4,112,0,36.3,22.1
"Dodoma",1980-04-22,1980,4,113,0,30.9,20.7
"Dodoma",1980-04-23,1980,4,114,0,36.1,20.5
"Dodoma",1980-04-24,1980,4,115,0,34.4,22.5
"Dodoma",1980-04-25,1980,4,116,0,35.4,24.6
"Dodoma",1980-04-26,1980,4,117,3.6,33.1,23.3
"Dodoma",1980-04-27,1980,4,118,0,35.6,21.1
"Dodoma",1980-04-28,1980,4,119,0,36.6,20.7
"Dodoma",1980-04-29,1980,4,120,0,34,20.4
"Dodoma",1980-04-30,1980,4,121,0,33.9,23.1
"Dodoma",1980-05-01,1980,5,122,0,34.9,21
"Dodoma",1980-05-02,1980,5,123,0,33.6,22.5
"Dodoma",1980-05-03,1980,5,124,0,34,22.3
"Dodoma",1980-05-04,1980,5,125,0,38.9,19.7
"Dodoma",1980-05-05,1980,5,126,0,34.3,22.3
"Dodoma",1980-05-06,1980,5,127,0,32.4,20.9
"Dodoma",1980-05-07,1980,5,128,0,30.4,21
"Dodoma",1980-05-08,1980,5,129,0,33.6,23.3
"Dodoma",1980-05-09,1980,5,130,0,33.6,20.4
"Dodoma",1980-05-10,1980,5,131,0,34.2,24.7
"Dodoma",1980-05-11,1980,5,132,0,32.7,21.1
"Dodoma",1980-05-12,1980,5,133,0,35.9,21.9
"Dodoma",1980-05-13,1980,5,134,0,30.2,22.1
"Dodoma",1980-05-14,1980,5,135,0,36.7,21.9
"Dodoma",1980-05-15,1980,5,136,0,35.3,20.7
"Dodoma",1980-05-16,1980,5,137,0,37.6,22.8
"Dodoma",1980-05-17,1980,5,138,0,36.3,25
"Dodoma",1980-05-18,1980,5,139,0,38.3,22
"Dodoma",1980-05-19,1980,5,140,0,35.2,20.5
"Dodoma",1980-05-20,1980,5,141,0,35.8,22
"Dodoma",1980-05-21,1980,5,142,7.4,32.1,21.6
"Dodoma",1980-05-22,1980,5,143,NA,34.6,23.7
"Dodoma",1980-05-23,1980,5,144,0,31.9,20.6
"Dodoma",1980-05-24,1980,5,145,0,37.1,21.5
"Dodoma",1980-05-25,1980,5,146,0,34.9,23.5
"Dodoma",1980-05-26,1980,5,147,0,30.5,22.3
"Dodoma",1980-05-27,1980,5,148,0,35.8,23.7
"Dodoma",1980-05-28,1980,5,149,0,35.5,19.4
"Dodoma",1980-05-29,1980,5,150,0.1,36.2,20.8
"Dodoma",1980-05-30,1980,5,151,0,39.4,20.8
"Dodoma",1980-05-31,1980,5,152,0,35.4,21.7
"Dodoma",1980-06-01,1980,6,153,0,37.3,19.9
"Dodoma",1980-06-02,1980,6,154,0,34.4,21
"Dodoma",1980-06-03,1980,6,155,0,33.9,19
"Dodoma",1980-06-04,1980,6,156,0,36,22.7
"Dodoma",1980-06-05,1980,6,157,0.7,36.5,21.1
"Dodoma",1980-06-06,1980,6,158,11.1,33.1,22.1
"Dodoma",1980-06-07,1980,6,159,1,37.1,21.5
"Dodoma",1980-06-08,1980,6,160,0,32.9,22.6
"Dodoma",1980-06-09,1980,6,161,0,33.7,22.3
"Dodoma",1980-06-10,1980,6,162,0,34.9,18.9
"Dodoma",1980-06-11,1980,6,163,0,34.9,19.7
"Dodoma",1980-06-12,1980,6,164,13.3,34.9,20.2
"Dodoma",1980-06-13,1980,6,165,0,33.6,18.8
"Dodoma",1980-06-14,1980,6,166,6.4,32.9,18.3
"Dodoma",1980-06-15,1980,6,167,0,34,22.9
"Dodoma",1980-06-16,1980,6,168,15.8,33.6,21.3
"Dodoma",1980-06-17,1980,6,169,9.8,34.8,21.2
"Dodoma",1980-06-18,1980,6,170,5.3,34.3,20.9
"Dodoma",1980-06-19,1980,6,171,NA,35.6,19.7
"Dodoma",1980-06-20,1980,6,172,0,33,22.1
"Dodoma",1980-06-21,1980,6,173,0,33.5,21.7
"Dodoma",1980-06-22,1980,6,174,0,36.9,21.1
"Dodoma",1980-06-23,1980,6,175,0,34.6,21.8
"Dodoma",1980-06-24,1980,6,176,10.4,31.5,22.7
"Dodoma",1980-06-25,1980,6,177,0,35,18.8
"Dodoma",1980-06-26,1980,6,178,0,33.9,22.1
"Dodoma",1980-06-27,1980,6,179,0,31.5,22.4
"Dodoma",1980-06-28,1980,6,180,0,31.7,20.7
"Dodoma",1980-06-29,1980,6,181,0,34,20.5
"Dodoma",1980-06-30,1980,6,182,0,34.2,21.6
"Dodoma",1980-07-01,1980,7,183,1,33.3,18.8
"Dodoma",1980-07-02,1980,7,184,13.5,33.3,21.1
"Dodoma",1980-07-03,1980,7,185,0,32.6,20.8
"Dodoma",1980-07-04,1980,7,186,0,35.5,21.3
"Dodoma",1980-07-05,1980,7,187,0,35,20.6
"Dodoma",1980-07-06,1980,7,188,0,29.6,20.5
"Dodoma",1980-07-07,1980,7,189,5.6,30.4,20
"Dodoma",1980-07-08,1980,7,190,0.3,33.7,21.2
"Dodoma",1980-07-09,1980,7,191,5.5,30.9,19.1
"Dodoma",1980-07-10,1980,7,192,0,30.6,21.6
"Dodoma",1980-07-11,1980,7,193,7.1,33.3,18.7
"Dodoma",1980-07-12,1980,7,194,1.2,32.6,20.6
"Dodoma",1980-07-13,1980,7,195,4.1,32.9,20.3
"Dodoma",1980-07-14,1980,7,196,1.9,30.9,23.8
"Dodoma",1980-07-15,1980,7,197,NA,30.9,20
"Dodoma",1980-07-16,1980,7,198,10.9,32.6,18
"Dodoma",1980-07-17,1980,7,199,0,32.4,18.9
"Dodoma",1980-07-18,1980,7,200,0,32.2,18.7
"Dodoma",1980-07-19,1980,7,201,0,30.5,21
"Dodoma",1980-07-20,1980,7,202,14.2,32.7,17.7
"Dodoma",1980-07-21,1980,7,203,0,32.2,18.7
"Dodoma",1980-07-22,1980,7,204,8.3,34.6,21
"Dodoma",1980-07-23,1980,7,205,13.9,30.9,18.9
"Dodoma",1980-07-24,1980,7,206,2.4,33.7,19.8
"Dodoma",1980-07-25,1980,7,207,0,29.8,20
"Dodoma",1980-07-26,1980,7,208,0.7,32.2,19.3
"Dodoma",1980-07-27,1980,7,209,NA,29.5,19.9
"Dodoma",1980-07-28,1980,7,210,0.5,33.4,18.7
"Dodoma",1980-07-29,1980,7,211,2.2,32.3,20.7
"Dodoma",1980-07-30,1980,7,212,0,30.7,21.6
"Dodoma",1980-07-31,1980,7,213,0.1,31,17.2
"Dodoma",1980-08-01,1980,8,214,6,31.8,21.4
"Dodoma",1980-08-02,1980,8,215,1.3,32.1,16.5
"Dodoma",1980-08-03,1980,8,216,0,33.5,19.4
"Dodoma",1980-08-04,1980,8,217,3.5,30.1,21.9
"Dodoma",1980-08-05,1980,8,218,13.3,29.6,18.3
"Dodoma",1980-08-06,1980,8,219,NA,36.5,18.2
"Dodoma",1980-08-07,1980,8,220,0,28.8,20.2
"Dodoma",1980-08-08,1980,8,221,13.1,31.2,16.6
"Dodoma",1980-08-09,1980,8,222,1.9,32.6,17.5
"Dodoma",1980-08-10,1980,8,223,8.1,25.2,18
"Dodoma",1980-08-11,1980,8,224,0,32.8,18.6
"Dodoma",1980-08-12,1980,8,225,2.1,31.9,15.6
"Dodoma",1980-08-13,1980,8,226,0,29.2,17.6
"Dodoma",1980-08-14,1980,8,227,14.1,29.1,19.2
"Dodoma",1980-08-15,1980,8,228,NA,30.2,18.2
"Dodoma",1980-08-16,1980,8,229,11.5,34.4,17.4
"Dodoma",1980-08-17,1980,8,230,8.2,31.7,18.1
"Dodoma",1980-08-18,1980,8,231,2.2,28.3,16.3
"Dodoma",1980-08-19,1980,8,232,3,28.5,17.5
"Dodoma",1980-08-20,1980,8,233,11.6,28.4,15.7
"Dodoma",1980-08-21,1980,8,234,11.6,30.5,19.8
"Dodoma",1980-08-22,1980,8,235,0,33.8,18
"Dodoma",1980-08-23,1980,8,236,0,29,17.7
"Dodoma",1980-08-24,1980,8,237,20.4,29.9,14.3
"Dodoma",1980-08-25,1980,8,238,NA,29.6,15.5
"Dodoma",1980-08-26,1980,8,239,0,33.2,17.3
"Dodoma",1980-08-27,1980,8,240,2.2,26.1,16.5
"Dodoma",1980-08-28,1980,8,241,1.5,28.1,18.2
"Dodoma",1980-08-29,1980,8,242,0,30.1,18.6
"Dodoma",1980-08-30,1980,8,243,3.4,26.9,15.3
"Dodoma",1980-08-31,1980,8,244,9.3,26.7,16.6
"Dodoma",1980-09-01,1980,9,245,0,35.2,19.6
"Dodoma",1980-09-02,1980,9,246,0,28.8,17.8
"Dodoma",1980-09-03,1980,9,247,5,26.7,18.2
"Dodoma",1980-09-04,1980,9,248,3.7,29.1,15.4
"Dodoma",1980-09-05,1980,9,249,0,27.2,18
"Dodoma",1980-09-06,1980,9,250,0,25.6,14
"Dodoma",1980-09-07,1980,9,251,2.6,29.1,16
"Dodoma",1980-09-08,1980,9,252,1.5,31.6,15.5
"Dodoma",1980-09-09,1980,9,253,0.9,32,18.5
"Dodoma",1980-09-10,1980,9,254,0,25.7,15.7
"Dodoma",1980-09-11,1980,9,255,6,23.4,15.6
"Dodoma",1980-09-12,1980,9,256,0,30.8,15
"Dodoma",1980-09-13,1980,9,257,4.6,28.7,16.2
"Dodoma",1980-09-14,1980,9,258,0,25.4,16.8
"Dodoma",1980-09-15,1980,9,259,0,25.5,13.6
"Dodoma",1980-09-16,1980,9,260,0,25,15.7
"Dodoma",1980-09-17,1980,9,261,0,27.8,18.1
"Dodoma",1980-09-18,1980,9,262,2.3,27.9,15.1
"Dodoma",1980-09-19,1980,9,263,0,27.6,14.4
"Dodoma",1980-09-20,1980,9,264,0,26.6,16.6
"Dodoma",1980-09-21,1980,9,265,0,26.5,16.5
"Dodoma",1980-09-22,1980,9,266,2.9,27.4,13.4
"Dodoma",1980-09-23,1980,9,267,0,27.5,18.1
"Dodoma",1980-09-24,1980,9,268,0,24.4,15.7
"Dodoma",1980-09-25,1980,9,269,0,29.8,18
"Dodoma",1980-09-26,1980,9,270,0,23.8,13.7
"Dodoma",1980-09-27,1980,9,271,1.3,24.1,15.5
"Dodoma",1980-09-28,1980,9,272,0,23.7,14.9
"Dodoma",1980-09-29,1980,9,273,0,30.4,18.1
"Dodoma",1980-09-30,1980,9,274,0,27.5,14
"Dodoma",1980-10-01,1980,10,275,0,26.3,16.3
"Dodoma",1980-10-02,1980,10,276,0,24.7,13.4
"Dodoma",1980-10-03,1980,10,277,0,26.2,15.5
"Dodoma",1980-10-04,1980,10,278,0,25.3,16.7
"Dodoma",1980-10-05,1980,10,279,0,29.4,18.1
"Dodoma",1980-10-06,1980,10,280,0,27,13.7
"Dodoma",1980-10-07,1980,10,281,0,23,14.4
"Dodoma",1980-10-08,1980,10,282,7.2,23.4,15.9
"Dodoma",1980-10-09,1980,10,283,0,27.4,11.5
"Dodoma",1980-10-10,1980,10,284,0,23.9,12.5
"Dodoma",1980-10-11,1980,10,285,NA,26.2,14.8
"Dodoma",1980-10-12,1980,10,286,0,24.7,13.6
"Dodoma",1980-10-13,1980,10,287,0,25.3,15.7
"Dodoma",1980-10-14,1980,10,288,1.6,26,15.8
"Dodoma",1980-10-15,1980,10,289,0,27.7,19.5
"Dodoma",1980-10-16,1980,10,290,0,25.7,13.1
"Dodoma",1980-10-17,1980,10,291,0,25.7,13
"Dodoma",1980-10-18,1980,10,292,0,27.2,13.7
"Dodoma",1980-10-19,1980,10,293,0,25.7,13.7
"Dodoma",1980-10-20,1980,10,294,0,25.6,15.8
"Dodoma",1980-10-21,1980,10,295,0,25.3,12.6
"Dodoma",1980-10-22,1980,10,296,0,24.8,14
"Dodoma",1980-10-23,1980,10,297,0,28.7,15
"Dodoma",1980-10-24,1980,10,298,0,23.7,15.9
